,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
L.wrist position_x,-123.33104553232002,-86.3934677124,-91.23569335938001,-93.44222106932,-94.82989196776,-91.44911651614,-87.81130218506,-90.80398406982,-82.85650329588,-72.6860610962,-64.29908370972001,-63.74017105102,-64.83375701902,-63.054011535639994,-60.178083038340006,-56.54202499390001,-53.65551376344,-52.49269714354,-51.49039611816001,-50.24903564454,-29.476135253899997,0.0,0.0,0.0,0.0,0.0
L.wrist position_y,252.7439331054,239.70151672359998,237.10531921399996,227.46946105959995,222.68814086900002,215.69749755880002,205.89640502920003,207.66021118140003,191.0552246094,179.64593200680002,166.6882049562,162.2613281248,162.43960876459997,162.54741516120004,159.4967803954,157.64019775399998,156.1637237548,155.86929931659998,155.5903137208,154.98590087899998,93.2571777344,0.0,0.0,0.0,0.0,0.0
L.wrist position_z,-4.539815902699999,-33.57719802856,-39.78397521974,-44.50420608522,-49.328259277360004,-57.5294151306,-63.461610412599995,-63.03610153198,-60.938838195799995,-63.99798583985999,-64.86059417724,-62.61534729003999,-61.64996643068,-63.35757141116001,-64.07135391236,-65.27440185546,-65.93361816404,-65.92933502195999,-66.03888549806001,-66.12870635985999,-39.715234375019996,0.0,0.0,0.0,0.0,0.0
L.elbow position_x,-97.01918773645,-16.5488864243066,-59.15007019044,-63.066082000739996,-68.12159576415999,-58.904650115959996,-60.40494308472,-76.84689788818,-68.39289550774001,-202.7162689208,-228.49949340820004,-236.67093200679997,-238.35820922840003,-234.6709106446,-229.729272461,-226.82367858900002,-226.2539337156,-225.7273132322,-225.8082336426,-224.7122314454,-134.38192749019998,0.0,0.0,0.0,0.0,0.0
L.elbow position_y,49.1373968481184,-0.939814740418,-12.62046737672,-22.141746902460003,-27.98135490418,-35.2434364319,-45.4190711975,-44.43379287722,-43.189241886152004,52.636103820799995,97.7205673217,126.2420944214,132.29668579100002,130.5176254274,122.06296997080001,119.38558959939999,117.6956207274,115.733441162,116.39696960439998,116.9800125122,71.06379394519999,0.0,0.0,0.0,0.0,0.0
L.elbow position_z,14.24555740358,-0.6622871875779998,-13.978611946120001,-15.28293094636,-27.734243011480004,-51.01156845092,-51.849315643299995,-55.00273742674,-121.69183425893998,-238.04489746099998,-244.15914306640002,-243.90164794920003,-243.49292297360003,-246.67160949700002,-248.2911956786,-248.6505859376,-247.083126831,-246.11024475079998,-245.37982788100004,-245.584640503,-147.29436950680002,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_s_x,-132.52891082754002,-98.16968383778,-101.77650299060001,-103.9119689942,-105.59638061519999,-103.6655914308,-99.39573822032,-98.74550476078,-99.32623596204,-85.03181152344,-75.69321746828001,-75.19412078858,-76.33992919922,-75.05791473389999,-72.24077301026,-68.44970855711999,-65.04011688232,-63.888079071039996,-62.90884628298001,-61.68136749265999,-36.320147705080004,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_s_y,260.3162963868,247.34903869619998,243.9367004394,235.8865875246,231.4070953368,221.19538574220002,203.76260070799998,201.61073913580003,202.964694214,181.729840088,166.1045867918,160.43709411639998,160.4835845948,160.44284362780002,158.06559143080003,155.4445465088,154.3834625242,154.4222259522,154.7653808592,154.3152282714,93.0306396484,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_s_z,22.885313320149997,-6.297148323056,-12.690048408517999,-17.2173324585,-21.6832824707,-30.3889148712,-40.5703353882,-44.47376098632,-31.953379821739997,-33.46311950682,-34.611480712900004,-32.62290878294,-31.681818389899995,-33.7087486267,-34.3016593933,-35.55148086548,-35.886325836180006,-35.91232833862,-36.02986984254,-36.1111869812,-21.685507965099998,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_e_x,-132.52891082754002,-98.16968383778,-101.77650299060001,-103.9119689942,-105.59638061519999,-103.6655914308,-99.39573822032,-98.74550476078,-99.32623596204,-85.03181152344,-75.69321746828001,-75.19412078858,-76.33992919922,-75.05791473389999,-72.24077301026,-68.44970855711999,-65.04011688232,-63.888079071039996,-62.90884628298001,-61.68136749265999,-36.320147705080004,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_e_y,260.3162963868,247.34903869619998,243.9367004394,235.8865875246,231.4070953368,221.19538574220002,203.76260070799998,201.61073913580003,202.964694214,181.729840088,166.1045867918,160.43709411639998,160.4835845948,160.44284362780002,158.06559143080003,155.4445465088,154.3834625242,154.4222259522,154.7653808592,154.3152282714,93.0306396484,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_e_z,22.885313320149997,-6.297148323056,-12.690048408517999,-17.2173324585,-21.6832824707,-30.3889148712,-40.5703353882,-44.47376098632,-31.953379821739997,-33.46311950682,-34.611480712900004,-32.62290878294,-31.681818389899995,-33.7087486267,-34.3016593933,-35.55148086548,-35.886325836180006,-35.91232833862,-36.02986984254,-36.1111869812,-21.685507965099998,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_d_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_d_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_d_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_P_s_x,-132.52891082754002,-98.16968383778,-101.77650299060001,-103.9119689942,-105.59638061519999,-103.6655914308,-99.39573822032,-98.74550476078,-99.32623596204,-85.03181152344,-75.69321746828001,-75.19412078858,-76.33992919922,-75.05791473389999,-72.24077301026,-68.44970855711999,-65.04011688232,-63.888079071039996,-62.90884628298001,-61.68136749265999,-36.320147705080004,0.0,0.0,0.0,0.0,0.0
