,0,1,2,3,4,5,6
L.Middle_D_e_z,-28.354470825200004,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_D_d_x,-0.022982275485999997,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_D_d_y,0.1695922613144,0.0,0.0,0.0,0.0,0.0,0.0
L.Middle_D_d_z,0.10349048376080001,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_M_s_x,10.064840698240001,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_M_s_y,24.922479248,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_M_s_z,-3.3083869934,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_M_e_x,9.015998077399999,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_M_e_y,26.990814209,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_M_e_z,-14.836383056639999,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_M_d_x,0.017839060723779998,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_M_d_y,-0.035178920626599997,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_M_d_z,0.19607194662099997,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_P_s_x,9.015998077399999,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_P_s_y,26.990814209,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_P_s_z,-14.836383056639999,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_P_e_x,8.190524292000001,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_P_e_y,27.1171264648,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_P_e_z,-23.052267456000003,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_P_d_x,0.01999157816172,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_P_d_y,-0.0030590690672400002,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_P_d_z,0.1989748120308,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_I_s_x,8.190524292000001,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_I_s_y,27.1171264648,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_I_s_z,-23.052267456000003,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_I_e_x,8.02871780396,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_I_e_y,25.033445739799998,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_I_e_z,-27.726525879,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_I_d_x,0.00632030069828,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_I_d_y,0.081390362978,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_I_d_z,0.18258055448539998,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_D_s_x,8.02871780396,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_D_s_y,25.033445739799998,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_D_s_z,-27.726525879,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_D_e_x,8.07646026612,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_D_e_y,22.8552459716,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_D_e_z,-30.4059143066,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_D_d_x,-0.00276495590806,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_D_d_y,0.12614821195599998,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_D_d_z,0.1551740407944,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_M_s_x,7.696384429939999,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_M_s_y,23.6873703002,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_M_s_z,-3.36319465638,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_M_e_x,5.26305923462,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_M_e_y,26.119924926800003,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_M_e_z,-13.690234375,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_M_d_x,0.0447091460228,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_M_d_y,-0.0446949869394,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_M_d_z,0.18974575996400003,0.0,0.0,0.0,0.0,0.0,0.0
