,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
L.Thumb_M_s_y,0.0,0.0,0.0,62.702838134800004,304.1840026854,347.0567626954,347.83354492179996,326.4188537596,319.8046875,317.45738525400003,313.5840026856,302.70800170900003,292.25062866220003,281.9245666504,264.92449340819996,244.93728332519999,225.3542449952,179.1787475586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_s_z,0.0,0.0,0.0,11.3447883606,43.58351173402001,10.051313185675998,-14.781382560742,-31.75580215456,-41.31355743408,-40.39452285765999,-30.980493927000005,-28.617550659159996,-26.89615631102,-23.90083618166,-20.94252128602,-23.56410980224,-28.357387924199998,-23.52667655946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_e_x,0.0,0.0,0.0,39.5330322266,159.4115173338,132.82449798599998,81.23696899417999,41.62523117063999,17.195737266540004,11.06870956422,20.133986473079997,29.725077438339998,33.41970977782,36.31128005982,40.82754516600001,49.031695556619994,56.186012268060004,44.75629272462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_e_y,0.0,0.0,0.0,62.702838134800004,304.1840026854,347.0567626954,347.83354492179996,326.4188537596,319.8046875,317.45738525400003,313.5840026856,302.70800170900003,292.25062866220003,281.9245666504,264.92449340819996,244.93728332519999,225.3542449952,179.1787475586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_e_z,0.0,0.0,0.0,11.3447883606,43.58351173402001,10.051313185675998,-14.781382560742,-31.75580215456,-41.31355743408,-40.39452285765999,-30.980493927000005,-28.617550659159996,-26.89615631102,-23.90083618166,-20.94252128602,-23.56410980224,-28.357387924199998,-23.52667655946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_d_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_d_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_d_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_P_s_x,0.0,0.0,0.0,39.5330322266,159.4115173338,132.82449798599998,81.23696899417999,41.62523117063999,17.195737266540004,11.06870956422,20.133986473079997,29.725077438339998,33.41970977782,36.31128005982,40.82754516600001,49.031695556619994,56.186012268060004,44.75629272462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_P_s_y,0.0,0.0,0.0,62.702838134800004,304.1840026854,347.0567626954,347.83354492179996,326.4188537596,319.8046875,317.45738525400003,313.5840026856,302.70800170900003,292.25062866220003,281.9245666504,264.92449340819996,244.93728332519999,225.3542449952,179.1787475586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
