,0,1,2,3
L.Pinky_M_d_y,0.0,0.0,0.0,0.0
L.Pinky_M_d_z,0.0,0.0,0.0,0.0
L.Pinky_P_s_x,0.0,0.0,0.0,0.0
L.Pinky_P_s_y,0.0,0.0,0.0,0.0
L.Pinky_P_s_z,0.0,0.0,0.0,0.0
L.Pinky_P_e_x,0.0,0.0,0.0,0.0
L.Pinky_P_e_y,0.0,0.0,0.0,0.0
L.Pinky_P_e_z,0.0,0.0,0.0,0.0
L.Pinky_P_d_x,0.0,0.0,0.0,0.0
L.Pinky_P_d_y,0.0,0.0,0.0,0.0
L.Pinky_P_d_z,0.0,0.0,0.0,0.0
L.Pinky_I_s_x,0.0,0.0,0.0,0.0
L.Pinky_I_s_y,0.0,0.0,0.0,0.0
L.Pinky_I_s_z,0.0,0.0,0.0,0.0
L.Pinky_I_e_x,0.0,0.0,0.0,0.0
L.Pinky_I_e_y,0.0,0.0,0.0,0.0
L.Pinky_I_e_z,0.0,0.0,0.0,0.0
L.Pinky_I_d_x,0.0,0.0,0.0,0.0
L.Pinky_I_d_y,0.0,0.0,0.0,0.0
L.Pinky_I_d_z,0.0,0.0,0.0,0.0
L.Pinky_D_s_x,0.0,0.0,0.0,0.0
L.Pinky_D_s_y,0.0,0.0,0.0,0.0
L.Pinky_D_s_z,0.0,0.0,0.0,0.0
L.Pinky_D_e_x,0.0,0.0,0.0,0.0
L.Pinky_D_e_y,0.0,0.0,0.0,0.0
L.Pinky_D_e_z,0.0,0.0,0.0,0.0
L.Pinky_D_d_x,0.0,0.0,0.0,0.0
L.Pinky_D_d_y,0.0,0.0,0.0,0.0
L.Pinky_D_d_z,0.0,0.0,0.0,0.0
R.hand.palm_position_x,72.86597595216,65.78970489502,65.44119720457999,64.994674682625
R.hand.palm_position_y,295.46622619619995,321.6313232422,321.69442138679995,322.60773468
R.hand.palm_position_z,-20.538721465979997,-53.38495025636,-51.8762413025,-49.952527999875
R.pitch,37.7118961499,26.727770213580005,27.05356067852,29.027655443399997
R.roll,-99.86234877105998,-102.81111085879998,-100.5738031401,-97.559115724125
R.yaw,-31.660613827499997,-28.54568552956,-28.810215344120003,-29.593586995425
R.Arm direction_x,-0.4376471310854,-0.4931477487088,-0.4971414983272,-0.49602273851650003
R.Arm direction_y,0.5990744948389999,0.5412598848344,0.5424041509627999,0.5487430691717501
R.Arm direction_z,-0.6519810199737999,-0.6810578227044,-0.6772319316861999,-0.6729294508697501
R.wrist position_x,99.49386444086,96.70875396727999,96.77811584474,96.77397346497501
R.wrist position_y,253.31660156240005,285.94319458,285.86200561500004,285.4120025635
R.wrist position_z,20.64295892725,-3.769888448714,-2.6290858268719997,-2.0334854722025
R.elbow position_x,205.61848449680002,216.29166564940002,217.32946777360002,217.05403137174997
R.elbow position_y,108.04761962890002,154.6936126708,154.334954834,152.3478393555
R.elbow position_z,178.74119567860004,161.3791534424,161.59221496599997,161.144508362
R.Thumb_M_s_x,95.63716735846,90.46304626466001,89.7231765747,89.0672264099
R.Thumb_M_s_y,283.62106018080004,318.64810791,318.4023254394,317.60486602775
R.Thumb_M_s_z,24.262674903957993,-4.114390707016001,-2.43188405037,-0.5514189209781499
R.Thumb_M_e_x,95.63716735846,90.46304626466001,89.7231765747,89.0672264099
R.Thumb_M_e_y,283.62106018080004,318.64810791,318.4023254394,317.60486602775
R.Thumb_M_e_z,24.262674903957993,-4.114390707016001,-2.43188405037,-0.5514189209781499
R.Thumb_M_d_x,0.0,0.0,0.0,0.0
R.Thumb_M_d_y,0.0,0.0,0.0,0.0
R.Thumb_M_d_z,0.0,0.0,0.0,0.0
R.Thumb_P_s_x,95.63716735846,90.46304626466001,89.7231765747,89.0672264099
R.Thumb_P_s_y,283.62106018080004,318.64810791,318.4023254394,317.60486602775
R.Thumb_P_s_z,24.262674903957993,-4.114390707016001,-2.43188405037,-0.5514189209781499
R.Thumb_P_e_x,81.6053863526,68.62575531003999,66.9261947632,65.216960906975
R.Thumb_P_e_y,320.240878296,354.85083007820003,354.1480163574,352.91017913825
R.Thumb_P_e_z,15.634807205160005,-19.0246406555,-16.9922466278,-14.496605157874999
R.Thumb_P_d_x,0.31299026608479996,0.4870985269548,0.5085051417349999,0.5319996029140001
R.Thumb_P_d_y,-0.8168347954748001,-0.8075311541556,-0.7973365664482,-0.78751376271275
R.Thumb_P_d_z,0.1924515902998,0.33258525133139993,0.32478067874919997,0.311058729887
R.Thumb_I_s_x,81.6053863526,68.62575531003999,66.9261947632,65.216960906975
R.Thumb_I_s_y,320.240878296,354.85083007820003,354.1480163574,352.91017913825
R.Thumb_I_s_z,15.634807205160005,-19.0246406555,-16.9922466278,-14.496605157874999
R.Thumb_I_e_x,64.73165512082001,47.2878753662,45.296527862560005,43.414971351649996
R.Thumb_I_e_y,338.60991516120004,370.9006469728,369.84461669940004,368.508125305
