,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
L.wrist position_x,62.90152053832001,60.40798187258,61.25438537596,62.86212997436,62.778707885740005,62.09575042724,62.269889068599994,62.259631347660005,62.157712554919996,62.23840484617999,62.68648376464,62.87491302488,67.59022750854,82.37311096191999,110.04070434558,118.6882507326,115.5968902586,112.6536117554,110.8785476684,110.26945495579999,109.87097473120002,108.2592910768,107.050971985
L.wrist position_y,168.4392425536,149.3111938474,148.150402832,150.3059570314,150.9863342284,150.780340576,150.96417846679998,150.7609405516,150.5450469972,149.18477783199998,148.74899597179996,148.59054870619997,149.3417419434,155.0881896974,174.36203308100002,179.0253509522,175.5263092038,172.9939178468,172.9812072754,173.33211669940002,172.9478912354,171.43214111319998,170.646408081
L.wrist position_z,37.06808929444001,33.66218948364,34.09093322753999,35.09243011474,35.58151168822,35.80224304202,36.05254821776,36.02107772826,35.75407791136,34.68360824588,34.943746948219996,35.06348648070001,33.66774749756,27.441822814939997,22.11548805238,22.927874374399998,22.11025924682,21.07850074768,21.32829246518,21.7615398407,22.17780914306,22.453403091440002,22.8906059265
L.elbow position_x,186.60184936539997,190.52496337899998,193.8124053956,196.6749755858,194.08888549800002,191.413812256,192.07981567380003,193.17839965800002,193.4246185302,193.13004760739997,195.615423584,194.96441345220003,194.40094909660002,199.08924865720002,210.55598144540005,220.5102874758,219.5701690676,220.02130432139998,220.3823303224,219.91375732420002,219.32499694819998,217.7723846434,217.040161133
L.elbow position_y,37.325128173799996,36.96145706176,35.9815055847,34.72880554198,31.32248802184,31.95939788818,33.71937103272,34.46229095459999,34.593012237539995,35.427135467519996,36.07451400756,34.378001403800006,33.163069915760005,35.704914855960006,50.582320404060006,58.14179534912,54.437366485560005,60.18877944948,64.10693359374002,63.029878234879995,61.36855621336,58.73148193362,57.7308197021
L.elbow position_z,206.28308105459996,212.36497192360002,211.1234771728,208.96124267599998,208.5933837892,210.88544921859997,211.83483886740004,211.6094879148,211.3117004394,211.9468017578,211.38222045899997,211.1416595458,212.3101287842,210.6647247314,211.99368591299998,214.01689147939996,211.89669189440002,214.052178955,215.36878662100003,214.91340026839998,214.70391235359997,214.29172973619998,214.32987976099997
L.Thumb_M_s_x,32.65234909058,29.206755828859997,29.8933582306,32.30442886352,32.93637466432,31.7856048584,31.744976043680005,31.732921218860003,31.54503250124,31.43255462646,32.16462554932,32.474371337879994,37.362651824960004,63.372127533059995,127.2799087522,136.43540954600002,133.7759124758,130.6329376224,128.69757690440002,127.95243988040002,127.5459091184,125.8670425416,124.54737854
L.Thumb_M_s_y,186.90847167980002,166.35411987319998,165.2051239014,168.86586608880003,170.55807495119998,169.46569213880002,169.2918548586,169.16856689440002,168.83981018059998,167.1260467528,167.27438964840002,167.253186035,168.0621185302,172.5177825928,174.58013916019996,178.82212219240003,176.5686401368,173.97287292480001,173.83634948720004,174.082797241,173.7746612548,172.2482788086,171.322799683
L.Thumb_M_s_z,33.080113983160004,29.18324737548,29.305918502820003,31.4604785919,32.75758285522001,32.5046585083,32.5256752014,32.4202682495,32.04529190062,30.41364822388,30.96167755126,31.3646331787,29.39416313172,18.459479904194,-4.335401916505999,-2.845631742478,-3.288186931608,-4.586919307705999,-4.482606124877999,-4.13977060318,-3.72000851631,-3.483562994004,-3.1111772060400003
L.Thumb_M_e_x,32.65234909058,29.206755828859997,29.8933582306,32.30442886352,32.93637466432,31.7856048584,31.744976043680005,31.732921218860003,31.54503250124,31.43255462646,32.16462554932,32.474371337879994,37.362651824960004,63.372127533059995,127.2799087522,136.43540954600002,133.7759124758,130.6329376224,128.69757690440002,127.95243988040002,127.5459091184,125.8670425416,124.54737854
L.Thumb_M_e_y,186.90847167980002,166.35411987319998,165.2051239014,168.86586608880003,170.55807495119998,169.46569213880002,169.2918548586,169.16856689440002,168.83981018059998,167.1260467528,167.27438964840002,167.253186035,168.0621185302,172.5177825928,174.58013916019996,178.82212219240003,176.5686401368,173.97287292480001,173.83634948720004,174.082797241,173.7746612548,172.2482788086,171.322799683
L.Thumb_M_e_z,33.080113983160004,29.18324737548,29.305918502820003,31.4604785919,32.75758285522001,32.5046585083,32.5256752014,32.4202682495,32.04529190062,30.41364822388,30.96167755126,31.3646331787,29.39416313172,18.459479904194,-4.335401916505999,-2.845631742478,-3.288186931608,-4.586919307705999,-4.482606124877999,-4.13977060318,-3.72000851631,-3.483562994004,-3.1111772060400003
L.Thumb_M_d_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_d_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_d_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_P_s_x,32.65234909058,29.206755828859997,29.8933582306,32.30442886352,32.93637466432,31.7856048584,31.744976043680005,31.732921218860003,31.54503250124,31.43255462646,32.16462554932,32.474371337879994,37.362651824960004,63.372127533059995,127.2799087522,136.43540954600002,133.7759124758,130.6329376224,128.69757690440002,127.95243988040002,127.5459091184,125.8670425416,124.54737854
L.Thumb_P_s_y,186.90847167980002,166.35411987319998,165.2051239014,168.86586608880003,170.55807495119998,169.46569213880002,169.2918548586,169.16856689440002,168.83981018059998,167.1260467528,167.27438964840002,167.253186035,168.0621185302,172.5177825928,174.58013916019996,178.82212219240003,176.5686401368,173.97287292480001,173.83634948720004,174.082797241,173.7746612548,172.2482788086,171.322799683
L.Thumb_P_s_z,33.080113983160004,29.18324737548,29.305918502820003,31.4604785919,32.75758285522001,32.5046585083,32.5256752014,32.4202682495,32.04529190062,30.41364822388,30.96167755126,31.3646331787,29.39416313172,18.459479904194,-4.335401916505999,-2.845631742478,-3.288186931608,-4.586919307705999,-4.482606124877999,-4.13977060318,-3.72000851631,-3.483562994004,-3.1111772060400003
L.Thumb_P_e_x,2.1700382590308003,2.2942353248579996,4.101800107954,5.213483905794,4.734555435182,3.8672835350040002,4.172325134278,4.2635158538799995,3.983409690856,3.8581398010259997,4.1789470672619995,4.28145942688,9.619736003868,43.85272750844,135.9423583984,146.7745025636,143.9057891846,139.863241577,137.7027740478,136.74063720700002,136.30695495620003,134.6911285398,133.289672852
L.Thumb_P_e_y,204.94997253399998,192.62214660639998,191.3981170654,193.115386963,192.975805664,191.0002929688,191.0217163086,190.864086914,190.1918426514,187.3343017576,187.0072906494,187.06174316419998,187.39524841320002,191.9129760742,189.02673645020002,195.6777526858,194.34029541019999,190.97580871579999,190.8930664062,191.3420898438,191.0960083006,189.5078582766,188.55291748
L.Thumb_P_e_z,5.120068097114,2.9826769351960003,1.910291123388,3.5433411121359994,4.408793354034,3.200022935868,3.03820772171,2.8110891342159996,2.2726376533500003,-0.13402609266356,0.4761351972822,1.1197417020798,-1.5630106329917999,-15.679024600987997,-46.961864471439995,-44.20210571292,-44.317440795900005,-46.151670837400005,-46.07527465822,-45.69541473387999,-45.255587768539996,-45.03149795534,-44.68863677979999
