,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
L.Thumb_M_s_x,177.5326812744,224.5998565674,224.96135253900002,224.4554382324,224.1430480956,224.70200500480001,228.66742858900002,224.46676330559998,207.9751220704,209.3356597902,41.869964599599996,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_s_y,263.6667907714,322.5780700686,320.0587646486,318.9461791992,318.4185852052,319.12256469740004,312.7399902344,308.5546081544,274.20880737320005,268.2258178712,53.586981201200004,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_s_z,37.079454803459996,42.236728668219996,45.34073333738,46.24238967894,46.90218582154,47.43631820682,56.40696411131999,67.38718643188,41.92910308838,38.16968612672001,7.77754516602,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_e_x,177.5326812744,224.5998565674,224.96135253900002,224.4554382324,224.1430480956,224.70200500480001,228.66742858900002,224.46676330559998,207.9751220704,209.3356597902,41.869964599599996,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_e_y,263.6667907714,322.5780700686,320.0587646486,318.9461791992,318.4185852052,319.12256469740004,312.7399902344,308.5546081544,274.20880737320005,268.2258178712,53.586981201200004,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_e_z,37.079454803459996,42.236728668219996,45.34073333738,46.24238967894,46.90218582154,47.43631820682,56.40696411131999,67.38718643188,41.92910308838,38.16968612672001,7.77754516602,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_d_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_d_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_d_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_P_s_x,177.5326812744,224.5998565674,224.96135253900002,224.4554382324,224.1430480956,224.70200500480001,228.66742858900002,224.46676330559998,207.9751220704,209.3356597902,41.869964599599996,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_P_s_y,263.6667907714,322.5780700686,320.0587646486,318.9461791992,318.4185852052,319.12256469740004,312.7399902344,308.5546081544,274.20880737320005,268.2258178712,53.586981201200004,0.0,0.0,0.0,0.0,0.0,0.0
