,0,1,2,3,4,5,6
L.Ring_P_d_z,0.1803969740868,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_I_s_x,-58.945916748,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_I_s_y,40.317932129,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_I_s_z,-65.113244629,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_I_e_x,-56.3195983886,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_I_e_y,40.205355835,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_I_e_z,-69.0450378418,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_I_d_x,-0.1110585331916,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_I_d_y,0.00476048849524,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_I_d_z,0.1662628531456,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_D_s_x,-56.3195983886,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_D_s_y,40.205355835,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_D_s_z,-69.0450378418,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_D_e_x,-53.924597168000005,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_D_e_y,38.3383361816,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_D_e_z,-70.0217651368,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_D_d_x,-0.1501591086388,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_D_d_y,0.1170563101768,0.0,0.0,0.0,0.0,0.0,0.0
L.Ring_D_d_z,0.061237758398,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_M_s_x,-60.701757812400004,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_M_s_y,28.9209228516,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_M_s_z,-51.2477050782,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_M_e_x,-62.913024902400004,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_M_e_y,34.69677124019999,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_M_e_z,-59.1848083496,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_M_d_x,0.0439519882202,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_M_d_y,-0.114802968502,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_M_d_z,0.1577608942986,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_P_s_x,-62.913024902400004,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_P_s_y,34.69677124019999,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_P_s_z,-59.1848083496,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_P_e_x,-61.58659667959999,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_P_e_y,36.7531463624,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_P_e_z,-64.703552246,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_P_d_x,-0.0439437389374,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_P_d_y,-0.06812642216680001,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_P_d_z,0.18283253908160002,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_I_s_x,-61.58659667959999,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_I_s_y,36.7531463624,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_I_s_z,-64.703552246,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_I_e_x,-60.56616821280001,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_I_e_y,37.689526367199996,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_I_e_z,-67.7421203614,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_I_d_x,-0.0611161589622,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_I_d_y,-0.056082278490000005,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_I_d_z,0.1819878816604,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_D_s_x,-60.56616821280001,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_D_s_y,37.689526367199996,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_D_s_z,-67.7421203614,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_D_e_x,-58.3645812988,0.0,0.0,0.0,0.0,0.0,0.0
L.Pinky_D_e_y,37.2167633056,0.0,0.0,0.0,0.0,0.0,0.0
