,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
L.wrist position_z,0.0,0.0,0.0,0.0,0.0,17.2962463379,0.0,0.0,16.57459106446,0.0,0.0,15.771627807620002,69.43283386229999,69.68391571046,69.64913940429999,69.20687255862,68.18407440184,67.76642608642001,67.68566436768,68.10313873292,68.75195770261999,67.62985687256,66.66900024414001,66.59390563966,66.73032684326,66.70062561033998,66.61359786985
L.elbow position_x,0.0,0.0,0.0,0.0,0.0,14.245054626459998,0.0,0.0,14.852348327639998,0.0,0.0,24.4396896362,235.12379150400002,238.7839752198,249.43318481440002,260.54205932599996,270.1146362304,279.7980529786,288.902368164,297.06754760739994,307.0138793946,316.1180053714,324.8455993652,331.63720092780005,338.3982727048,347.3376098632,353.96414184549997
L.elbow position_y,0.0,0.0,0.0,0.0,0.0,4.44628944396,0.0,0.0,1.8490774154660001,0.0,0.0,-13.32862548828,-89.61232147216,-82.61710205076,-75.91728210448,-72.44814147948,-68.03438568115999,-62.8622970581,-55.15622177122,-46.3165763855,-39.74404220582,-34.98276824954,-28.054714965840002,-20.62583427428,-12.418182945262,-0.3279877841447997,9.24708652498
L.elbow position_z,0.0,0.0,0.0,0.0,0.0,44.3016204834,0.0,0.0,42.306149292,0.0,0.0,31.256640625,-12.006225585932,-31.088719558699996,-39.74830856321999,-39.877387237540006,-44.91352615356,-49.786586761479995,-56.5046005249,-63.710781097419996,-63.98544006348,-64.35501785278,-67.35564727782,-70.82248992918001,-73.9141433716,-77.83786315918,-80.5269165039
L.Thumb_M_s_x,0.0,0.0,0.0,0.0,0.0,46.749169921800004,0.0,0.0,45.458160400400004,0.0,0.0,45.478100586,191.81689453119998,191.29291381840002,191.9746307374,189.97475280780003,189.6531280518,189.7023376464,190.69278869640002,193.07070617660003,192.2829132082,190.5341125488,190.6080993654,191.0347778318,191.52619628920002,191.7788513184,191.93672180199997
L.Thumb_M_s_y,0.0,0.0,0.0,0.0,0.0,31.072781371999998,0.0,0.0,32.256863403400004,0.0,0.0,31.901449585,127.7882095336,119.3466125488,117.3001419068,122.2003112792,126.5418319702,125.8450775144,122.6940795898,118.97525329620001,119.93377075199999,127.53535308820001,130.2037048342,129.4063446042,128.81349792499998,128.54034729,127.978290558
L.Thumb_M_s_z,0.0,0.0,0.0,0.0,0.0,12.51953735352,0.0,0.0,12.52661361694,0.0,0.0,12.3306175232,77.86369934081999,72.98369750976,70.62156219482,73.91403961182,76.4820083618,75.82156066892,74.39213104248,72.37668304444,73.14536743165999,77.34955139159999,78.38599395752001,78.37518615724,78.53346557618002,78.64904327392,78.48010635374999
L.Thumb_M_e_x,0.0,0.0,0.0,0.0,0.0,46.749169921800004,0.0,0.0,45.458160400400004,0.0,0.0,45.478100586,191.81689453119998,191.29291381840002,191.9746307374,189.97475280780003,189.6531280518,189.7023376464,190.69278869640002,193.07070617660003,192.2829132082,190.5341125488,190.6080993654,191.0347778318,191.52619628920002,191.7788513184,191.93672180199997
L.Thumb_M_e_y,0.0,0.0,0.0,0.0,0.0,31.072781371999998,0.0,0.0,32.256863403400004,0.0,0.0,31.901449585,127.7882095336,119.3466125488,117.3001419068,122.2003112792,126.5418319702,125.8450775144,122.6940795898,118.97525329620001,119.93377075199999,127.53535308820001,130.2037048342,129.4063446042,128.81349792499998,128.54034729,127.978290558
L.Thumb_M_e_z,0.0,0.0,0.0,0.0,0.0,12.51953735352,0.0,0.0,12.52661361694,0.0,0.0,12.3306175232,77.86369934081999,72.98369750976,70.62156219482,73.91403961182,76.4820083618,75.82156066892,74.39213104248,72.37668304444,73.14536743165999,77.34955139159999,78.38599395752001,78.37518615724,78.53346557618002,78.64904327392,78.48010635374999
L.Thumb_M_d_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_d_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_d_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_P_s_x,0.0,0.0,0.0,0.0,0.0,46.749169921800004,0.0,0.0,45.458160400400004,0.0,0.0,45.478100586,191.81689453119998,191.29291381840002,191.9746307374,189.97475280780003,189.6531280518,189.7023376464,190.69278869640002,193.07070617660003,192.2829132082,190.5341125488,190.6080993654,191.0347778318,191.52619628920002,191.7788513184,191.93672180199997
L.Thumb_P_s_y,0.0,0.0,0.0,0.0,0.0,31.072781371999998,0.0,0.0,32.256863403400004,0.0,0.0,31.901449585,127.7882095336,119.3466125488,117.3001419068,122.2003112792,126.5418319702,125.8450775144,122.6940795898,118.97525329620001,119.93377075199999,127.53535308820001,130.2037048342,129.4063446042,128.81349792499998,128.54034729,127.978290558
L.Thumb_P_s_z,0.0,0.0,0.0,0.0,0.0,12.51953735352,0.0,0.0,12.52661361694,0.0,0.0,12.3306175232,77.86369934081999,72.98369750976,70.62156219482,73.91403961182,76.4820083618,75.82156066892,74.39213104248,72.37668304444,73.14536743165999,77.34955139159999,78.38599395752001,78.37518615724,78.53346557618002,78.64904327392,78.48010635374999
L.Thumb_P_e_x,0.0,0.0,0.0,0.0,0.0,40.6008026124,0.0,0.0,38.689920044000004,0.0,0.0,38.7263946534,155.2315582276,156.61300048820002,156.7516387938,155.116378784,154.7550811768,154.5582397462,156.3765838622,158.5363739014,157.61744384780002,155.60665283219998,154.706161499,155.30774841299998,155.70884704579998,155.85391845680002,155.963432312
L.Thumb_P_e_y,0.0,0.0,0.0,0.0,0.0,36.8695892334,0.0,0.0,37.229302978599996,0.0,0.0,36.9087402344,141.302218628,135.907965088,132.4975280762,138.26166992179998,143.31122741719997,141.309890747,139.76789855980002,135.1189788818,135.57548217779998,143.919189453,144.82923584,144.0336425782,143.4383422852,143.1171417236,142.4129333495
