,0,1,2,3,4,5,6,7,8,9,10,11
L.Thumb_M_s_x,0.0,0.0,98.34598999020001,161.200619507,160.66738891620003,160.8544250488,160.00013122540003,161.17242736819998,161.0561614988,161.2571502686,161.7012145994,161.9123916625
L.Thumb_M_s_y,0.0,0.0,86.0245513916,128.9805297852,130.3581970216,133.6169982912,133.7976226804,133.4044403076,132.632748413,132.5846771238,132.8827789308,132.864181519
L.Thumb_M_s_z,0.0,0.0,-2.6998524189,-8.508595275878001,-9.224247550964,-9.58639984132,-9.97566680908,-10.92305812834,-11.148596954340002,-11.00087490082,-10.30274295804,-10.3649740219
L.Thumb_M_e_x,0.0,0.0,98.34598999020001,161.200619507,160.66738891620003,160.8544250488,160.00013122540003,161.17242736819998,161.0561614988,161.2571502686,161.7012145994,161.9123916625
L.Thumb_M_e_y,0.0,0.0,86.0245513916,128.9805297852,130.3581970216,133.6169982912,133.7976226804,133.4044403076,132.632748413,132.5846771238,132.8827789308,132.864181519
L.Thumb_M_e_z,0.0,0.0,-2.6998524189,-8.508595275878001,-9.224247550964,-9.58639984132,-9.97566680908,-10.92305812834,-11.148596954340002,-11.00087490082,-10.30274295804,-10.3649740219
L.Thumb_M_d_x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_d_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_M_d_z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L.Thumb_P_s_x,0.0,0.0,98.34598999020001,161.200619507,160.66738891620003,160.8544250488,160.00013122540003,161.17242736819998,161.0561614988,161.2571502686,161.7012145994,161.9123916625
L.Thumb_P_s_y,0.0,0.0,86.0245513916,128.9805297852,130.3581970216,133.6169982912,133.7976226804,133.4044403076,132.632748413,132.5846771238,132.8827789308,132.864181519
L.Thumb_P_s_z,0.0,0.0,-2.6998524189,-8.508595275878001,-9.224247550964,-9.58639984132,-9.97566680908,-10.92305812834,-11.148596954340002,-11.00087490082,-10.30274295804,-10.3649740219
L.Thumb_P_e_x,0.0,0.0,81.1839782714,125.4268753052,125.32304992660002,125.90847930919999,124.42126770019999,125.3442276,125.4122268678,125.6985534668,126.0247482302,126.171813965
L.Thumb_P_e_y,0.0,0.0,99.967477417,143.726464844,145.5511016844,149.132974243,147.4680114748,145.6200836182,144.8754211424,145.2662750244,145.4664001466,145.490562439
L.Thumb_P_e_z,0.0,0.0,-15.314609909060001,-30.432734680179998,-31.531773376479997,-32.302791214,-32.88444519044,-34.27111892702,-34.76328582762,-34.51212234498,-33.68813095094,-33.62946128845
L.Thumb_P_d_x,0.0,0.0,0.3858774542808,0.8043509483337999,0.7946959733964,0.7857384085656001,0.7999691605568,0.8055753946304,0.801432287693,0.7995134711266,0.802163720131,0.8036051392554999
