,0,1,2,3,4,5,6
L.Thumb_P_d_x,0.2587437421082,0.2694377958774,0.27071995735180004,0.26780019402480004,0.2636283636094,0.2676089823246,0.271756798029
L.Thumb_P_d_y,-0.9060676336287999,-0.9145533800126,-0.9124063134193999,-0.911309361458,-0.9139081001281999,-0.9139397025108,-0.911184430122
L.Thumb_P_d_z,-0.1523381948472,-0.30165169239039996,-0.3069565534592,-0.3127200245856,-0.30865260362639996,-0.3051193535326,-0.309663236141
L.Thumb_I_s_x,33.202692031859996,26.722330856340005,26.81075820922,27.395927429199997,27.4816368103,27.113165664679997,27.219545364400002
L.Thumb_I_s_y,208.71680603040005,194.82471008299999,194.82476501460002,195.3804412842,195.7170379638,195.6720825198,195.77490234400003
L.Thumb_I_s_z,-4.688343811040001,-18.216991806000003,-18.0776199341,-18.10005226134,-18.019792556739997,-17.97886848448,-17.9232826233
L.Thumb_I_e_x,25.9664657593,18.12319641112,18.15673065186,18.77475776672,18.97900695802,18.5403514862,18.520736694300002
L.Thumb_I_e_y,234.59735412599997,224.6536376952,224.68068237300002,225.2847686768,225.6316741944,225.5202789306,225.599990845
L.Thumb_I_e_z,-5.932017707819999,-12.477041244519999,-12.564876937840001,-12.802235984800001,-12.591314125059998,-12.29972724914,-12.314365387
L.Thumb_I_d_x,0.22921211496012,0.2723830878734,0.27412186265,0.27308106422420003,0.26932625770580004,0.2715493798256,0.27554029226300003
L.Thumb_I_d_y,-0.8197829782962,-0.9448504090308001,-0.9457052826882,-0.9472387194634001,-0.947565305233,-0.9454607486723999,-0.944728672504
L.Thumb_I_d_z,0.039394184947000005,-0.181816610694,-0.1746196627616,-0.1678117245436,-0.17195053398620003,-0.1798904359342,-0.177666023374
L.Thumb_D_s_x,25.9664657593,18.12319641112,18.15673065186,18.77475776672,18.97900695802,18.5403514862,18.520736694300002
L.Thumb_D_s_y,234.59735412599997,224.6536376952,224.68068237300002,225.2847686768,225.6316741944,225.5202789306,225.599990845
L.Thumb_D_s_z,-5.932017707819999,-12.477041244519999,-12.564876937840001,-12.802235984800001,-12.591314125059998,-12.29972724914,-12.314365387
L.Thumb_D_e_x,21.924402618379997,12.705685806279998,12.78404865264,13.456558418259998,13.7332338333,13.27736854552,13.2040300369
L.Thumb_D_e_y,249.68641357419997,244.9314544676,244.75164794919996,244.98645629880002,245.1642700196,245.316558838,245.419448853
L.Thumb_D_e_z,-14.14161434175,-17.86408576966,-18.71226196288,-20.08403244018,-20.370851898199998,-19.36860275272,-19.279314041099997
L.Thumb_D_d_x,0.186528035998,0.2500005036592,0.2479317873716,0.245417624712,0.2420753449202,0.24286952018720004,0.245348751545
